id,order_id,product_id,quantity
1,38,65,3
2,131,29,4
3,88,42,2
4,60,9,1
5,113,65,1
6,79,71,1
7,117,109,2
8,5,74,4
9,90,94,4
10,158,29,2
11,81,91,1
12,77,37,5
13,86,90,4
14,32,10,1
15,71,58,5
16,144,113,5
17,73,62,1
18,113,86,4
19,111,46,4
20,116,96,2
21,33,6,1
22,74,22,4
23,45,65,2
24,123,67,4
25,144,49,1
26,5,99,1
27,103,21,5
28,122,110,5
29,2,52,4
30,145,14,4
31,117,70,3
32,71,58,3
33,13,10,5
34,127,38,2
35,142,2,2
36,1,73,4
37,130,1,5
38,35,91,4
39,151,108,3
40,48,111,5
41,9,70,3
42,78,69,4
43,12,57,3
44,101,66,2
45,139,31,5
46,95,67,4
47,97,77,2
48,125,105,2
49,10,60,2
50,48,27,5
51,63,114,4
52,86,80,1
53,159,81,5
54,55,41,3
55,69,82,4
56,98,43,4
57,52,15,2
58,88,66,3
59,148,9,2
60,58,6,1
61,7,70,3
62,8,106,1
63,16,105,5
64,62,13,2
65,35,43,3
66,75,50,2
67,33,14,1
68,32,64,1
69,56,57,2
70,63,25,2
71,120,49,1
72,86,77,3
73,26,105,3
74,157,1,4
75,78,5,5
76,81,21,2
77,11,79,4
78,139,82,1
79,79,114,5
80,57,47,3
81,6,88,2
82,142,62,4
83,148,48,5
84,129,110,2
85,69,68,2
86,159,78,3
87,7,34,1
88,33,15,1
89,148,61,5
90,131,54,4
91,67,106,3
92,41,47,5
93,81,30,1
94,40,13,2
95,11,37,3
96,46,107,1
97,113,8,3
98,119,39,3
99,126,63,4
100,44,87,2
101,130,55,1
102,83,82,1
103,145,81,3
104,153,106,4
105,19,27,5
106,38,74,4
107,151,71,3
108,86,60,5
109,151,34,1
110,118,17,2
111,6,113,2
112,112,32,5
113,145,11,2
114,160,62,2
115,69,29,5
116,80,69,5
117,8,38,4
118,68,59,1
119,39,114,3
120,56,104,1
121,158,89,2
122,49,42,4
123,159,77,3
124,37,53,4
125,57,64,2
126,91,61,3
127,108,78,2
128,64,38,3
129,71,85,1
130,154,38,1
131,136,51,4
132,101,96,5
133,115,81,5
134,85,4,1
135,36,79,5
136,111,42,4
137,90,56,5
138,3,90,4
139,69,23,2
140,39,52,3
141,32,92,3
142,149,38,3
143,109,32,4
144,88,80,5
145,156,10,2
146,43,36,4
147,65,103,2
148,102,52,2
149,33,109,2
150,143,76,3
151,48,55,3
152,136,37,2
153,141,10,3
154,111,82,2
155,37,78,5
156,31,23,3
157,56,30,3
158,116,99,4
159,158,95,3
160,128,65,4
161,116,85,5
162,3,48,3
163,105,71,4
164,123,49,2
165,79,93,4
166,12,48,2
167,33,41,4
168,89,47,5
169,6,9,4
170,75,10,3
171,74,85,5
172,59,11,2
173,123,112,3
