id,customer_id,order_date
1,39,2025-06-25
2,167,2025-02-04
3,178,2025-08-13
4,33,2025-08-26
5,164,2024-12-09
6,83,2025-08-13
7,54,2025-11-06
8,130,2025-02-28
9,22,2025-08-04
10,18,2025-01-13
11,143,2025-02-20
12,93,2025-03-30
13,39,2024-12-14
14,79,2025-08-18
15,42,2025-04-13
16,131,2025-02-12
17,16,2025-08-14
18,141,2025-04-16
19,88,2025-02-21
20,156,2025-05-31
21,28,2025-01-29
22,4,2025-01-21
23,75,2025-07-22
24,155,2025-06-05
25,173,2025-10-12
26,110,2025-10-16
27,118,2025-01-25
28,108,2025-07-18
29,63,2025-08-26
30,144,2025-06-02
31,39,2025-04-14
32,178,2025-02-09
33,39,2025-10-20
34,166,2025-01-22
35,164,2025-01-21
36,55,2025-02-08
37,155,2025-04-04
38,106,2025-08-25
39,16,2025-07-16
40,80,2025-05-20
41,178,2025-06-22
42,151,2025-09-16
43,26,2025-08-19
44,165,2025-07-11
45,30,2025-10-30
46,73,2025-06-27
47,117,2025-01-28
48,25,2025-11-09
49,139,2025-04-07
50,123,2025-09-29
51,147,2025-03-09
52,149,2025-06-23
53,33,2025-04-10
54,9,2025-06-25
55,52,2025-04-01
56,64,2025-02-23
57,78,2025-07-09
58,89,2025-02-06
59,36,2025-07-29
60,110,2025-06-02
61,77,2024-11-13
62,41,2025-02-18
63,118,2025-05-04
64,74,2025-05-14
65,139,2025-05-15
66,16,2025-10-26
67,138,2025-10-31
68,101,2025-09-22
69,87,2025-06-11
70,6,2025-05-12
71,12,2025-02-24
72,78,2025-05-14
73,159,2025-02-21
74,170,2025-08-04
75,137,2025-05-03
76,88,2025-10-08
77,102,2025-03-31
78,106,2025-09-01
79,17,2025-01-03
80,162,2025-02-02
81,98,2025-06-28
82,156,2025-06-25
83,143,2025-08-11
84,19,2025-08-20
85,118,2025-06-02
86,105,2025-04-30
87,10,2025-03-07
88,161,2025-03-27
89,52,2025-02-19
90,86,2025-05-04
91,133,2025-04-24
92,105,2025-10-24
93,59,2025-03-21
94,113,2025-08-19
95,98,2025-03-08
96,176,2025-06-05
97,116,2025-05-01
98,77,2025-05-27
99,97,2025-10-01
100,155,2025-03-09
101,67,2025-09-24
102,148,2025-10-29
103,159,2025-08-13
104,25,2025-02-01
105,63,2025-08-17
106,29,2025-05-30
107,110,2025-08-23
108,43,2024-12-25
109,129,2025-04-07
110,75,2025-05-21
111,88,2024-11-14
112,28,2025-05-29
113,66,2025-05-07
114,170,2025-07-02
115,133,2025-09-06
116,177,2025-09-21
117,95,2025-11-07
118,169,2025-06-22
119,8,2025-06-21
120,1,2025-08-24
121,12,2025-09-03
122,76,2024-12-18
123,67,2025-03-18
124,12,2025-03-03
125,132,2025-08-04
126,100,2025-03-11
127,136,2025-02-01
128,139,2025-02-21
129,16,2025-07-30
130,94,2025-09-06
131,63,2025-03-18
132,159,2025-02-22
133,52,2025-07-14
134,108,2025-07-09
135,143,2025-09-30
136,14,2025-08-28
137,101,2025-07-09
138,100,2025-06-20
139,82,2025-02-07
140,86,2024-12-13
141,169,2025-10-10
142,137,2025-01-23
143,74,2025-05-12
144,69,2025-05-25
145,78,2025-07-12
146,18,2025-09-08
147,142,2025-03-26
148,75,2025-01-04
149,8,2025-10-17
150,158,2025-09-18
151,178,2025-08-16
152,24,2024-11-29
153,178,2025-08-17
154,9,2025-09-30
155,50,2024-12-06
156,42,2024-11-18
157,141,2025-03-29
158,100,2025-02-08
159,172,2025-04-29
160,131,2025-02-24
