id,order_id,payment_date,amount,mode
1,149,2025-11-12,5782.55,COD
2,112,2025-04-18,8117.19,COD
3,91,2024-12-04,6377.83,UPI
4,68,2025-04-18,9102.68,COD
5,45,2025-03-07,7362.59,Wallet
6,29,2025-06-22,8433.09,Card
7,77,2025-04-08,7734.76,UPI
8,45,2025-03-03,7200.36,UPI
9,94,2025-01-03,9418.47,Card
10,95,2024-11-22,5694.75,Wallet
11,158,2025-07-20,4737.71,COD
12,96,2025-09-06,4843.52,Wallet
13,29,2025-02-24,4536.59,UPI
14,47,2025-03-29,3221.74,UPI
15,102,2025-07-17,2424.44,UPI
16,89,2025-06-30,1205.1,NetBanking
17,116,2024-11-17,4839.48,NetBanking
18,48,2025-03-11,3952.04,Wallet
19,101,2024-11-30,4875.07,NetBanking
20,145,2025-10-06,7112.35,NetBanking
21,113,2025-07-11,329.12,Card
22,69,2025-02-22,5154.83,Card
23,2,2025-09-29,6086.46,Wallet
24,77,2025-04-11,1431.18,Wallet
25,111,2025-02-07,7519.67,UPI
26,151,2025-11-13,7362.71,UPI
27,4,2025-05-16,2410.74,Wallet
28,23,2025-05-28,4266.67,COD
29,123,2024-11-13,4666.72,NetBanking
30,111,2025-08-03,8541.34,Card
31,28,2025-03-02,7688.76,UPI
32,65,2025-09-19,5395.53,COD
33,95,2025-09-05,4875.23,Card
34,108,2025-06-04,8661.66,Wallet
35,79,2025-03-30,4550.11,Card
36,120,2024-12-30,3662.85,NetBanking
37,129,2025-06-05,9347.27,UPI
38,155,2025-09-23,2154.4,Wallet
39,87,2025-04-19,1464.78,UPI
40,35,2025-06-01,8503.1,Wallet
41,106,2025-07-16,1294.25,NetBanking
42,61,2025-08-07,4480.77,UPI
43,113,2024-12-26,9493.17,Card
44,44,2025-04-17,4753.39,UPI
45,73,2025-08-02,8944.61,COD
46,49,2025-02-02,7380.71,Card
47,140,2025-05-29,601.57,Wallet
48,56,2025-04-10,5537.38,COD
49,96,2025-04-21,554.46,NetBanking
50,59,2025-08-14,2841.54,Wallet
51,149,2025-07-27,6462.47,COD
52,133,2025-08-22,1182.23,UPI
53,124,2025-06-13,1712.07,COD
54,105,2024-11-18,5920.19,UPI
55,126,2025-10-11,5919.92,COD
56,79,2025-06-14,8941.9,Card
57,147,2025-08-26,3054.91,NetBanking
58,98,2024-12-14,1380.79,Wallet
59,118,2025-07-11,3308.43,COD
60,84,2025-10-13,961.81,NetBanking
61,135,2024-12-16,7293.7,UPI
62,46,2025-09-17,2435.04,Card
63,135,2025-09-29,7304.49,Wallet
64,58,2025-09-09,2209.97,COD
65,135,2025-07-01,882.96,COD
66,136,2025-07-09,3182.48,Wallet
67,100,2025-06-08,8626.16,Wallet
68,43,2025-03-01,5347.57,Wallet
69,21,2025-05-05,6795.82,COD
70,81,2025-03-12,300.6,Wallet
71,68,2025-08-03,5415.96,Wallet
72,143,2025-01-30,3582.22,Wallet
73,30,2025-08-05,4104.17,Wallet
74,26,2024-12-29,1688.41,COD
75,125,2025-02-02,4255.16,NetBanking
76,29,2025-10-12,3314.78,COD
77,82,2025-10-20,1538.43,Wallet
78,109,2025-03-21,9649.22,UPI
79,47,2024-11-29,1747.36,Wallet
80,105,2025-06-15,3724.38,Card
81,113,2025-08-30,9540.03,COD
82,145,2025-11-13,5218.51,UPI
83,154,2025-02-13,6946.41,Wallet
84,153,2025-08-05,986.65,Wallet
85,115,2025-07-31,5346.36,Wallet
86,26,2024-12-09,8182.34,COD
87,72,2025-07-23,8283.83,Card
88,74,2025-06-02,4032.32,UPI
89,143,2024-11-25,499.12,NetBanking
90,111,2025-06-23,5769.46,COD
91,69,2025-04-05,7097.22,UPI
92,139,2025-04-19,4072.18,UPI
93,1,2024-12-30,270.39,Card
94,65,2025-08-19,9671.34,COD
95,77,2025-05-21,539.66,UPI
96,153,2025-01-28,6314.11,COD
97,15,2025-08-14,1495.61,Card
98,146,2025-10-07,1203.2,NetBanking
99,85,2024-12-11,1967.98,Wallet
100,7,2025-01-17,1489.9,Wallet
101,16,2025-01-25,7063.86,NetBanking
102,108,2025-07-27,1379.7,COD
103,129,2025-02-08,621.42,Card
104,53,2025-11-12,9819.47,Wallet
105,3,2025-07-12,4140.94,Card
106,23,2025-08-29,347.93,NetBanking
107,153,2025-03-30,2464.37,UPI
108,21,2025-11-04,9735.77,Card
109,118,2025-02-22,5183.2,Card
110,88,2025-10-25,7210.42,NetBanking
111,156,2025-06-04,9004.75,COD
112,75,2025-01-07,9762.41,UPI
113,109,2025-08-09,532.86,Card
114,120,2025-04-14,5858.54,UPI
115,139,2025-07-04,3464.19,Card
116,14,2025-05-11,5995.38,Wallet
117,152,2025-04-22,3864.43,NetBanking
118,70,2025-07-05,9494.57,Wallet
119,56,2024-11-27,7631.18,Card
120,48,2025-02-25,6646.72,Wallet
121,138,2025-02-11,8096.59,COD
122,104,2025-08-31,1995.79,COD
123,87,2025-04-08,6842.09,UPI
124,29,2025-01-26,7437.41,NetBanking
125,82,2025-05-01,7725.29,NetBanking
126,64,2024-12-07,2401.31,NetBanking
127,47,2024-11-21,3759.35,COD
128,70,2025-05-05,4307.68,NetBanking
129,134,2025-09-23,5668.39,NetBanking
130,94,2024-11-27,9572.45,NetBanking
131,105,2025-05-29,700.81,COD
132,54,2025-06-06,2789.37,Wallet
133,43,2025-05-13,8067.5,COD
134,133,2025-06-30,1489.45,Card
135,158,2025-05-28,7271.57,NetBanking
136,67,2025-02-09,8250.73,Wallet
137,93,2025-05-25,543.5,COD
138,99,2025-06-16,7704.88,COD
139,7,2025-09-15,839.31,NetBanking
140,105,2025-07-11,5427.99,Wallet
141,110,2025-06-08,877.79,UPI
142,31,2025-10-30,3207.99,UPI
143,85,2025-08-05,9208.19,Wallet
144,157,2024-12-02,5467.78,COD
145,115,2025-10-06,5937.88,Card
146,140,2024-12-16,4711.47,COD
147,7,2025-08-03,2075.78,COD
148,116,2025-05-22,8363.48,UPI
149,70,2025-05-14,7934.38,UPI
150,27,2025-08-19,7139.82,Card
151,129,2025-02-16,6494.47,Wallet
152,70,2025-02-21,8137.63,COD
153,23,2025-05-22,3174.2,NetBanking
154,112,2025-11-13,6233.69,COD
155,61,2025-11-05,2406.99,Card
