id,name,category,price
1,Myself Enjoy,Fashion,2725.19
2,How History,Fashion,4653.91
3,Summer Camera,Sports,216.41
4,Be Fact,Books,257.47
5,Father Spring,Home,3743.25
6,Food Eye,Sports,4898.33
7,Free Game,Electronics,4203.17
8,Player Practice,Sports,4118.03
9,Manage Later,Fashion,232.46
10,View Nation,Home,1414.0
11,Father Quality,Sports,4274.43
12,Charge Thousand,Home,4776.2
13,Choose Figure,Beauty,398.09
14,Young Floor,Beauty,2279.5
15,Allow Long,Electronics,4141.65
16,Color About,Home,3963.87
17,Small A,Sports,2510.26
18,Plan Something,Fashion,3096.55
19,Actually Certainly,Home,4139.81
20,From Cover,Home,4296.04
21,Instead Set,Fashion,1049.35
22,Hour Real,Fashion,2174.72
23,Result Kind,Beauty,2951.66
24,Benefit Form,Home,1988.11
25,Material Drug,Home,835.64
26,Hope Moment,Electronics,2523.5
27,Rise Really,Beauty,1234.59
28,Report Feel,Fashion,2830.9
29,Occur Figure,Home,1012.77
30,Stuff Business,Books,4023.47
31,Region Later,Fashion,689.56
32,Nice Same,Home,2380.98
33,Fill Spend,Beauty,3942.29
34,Quality Realize,Home,279.26
35,Miss Significant,Beauty,243.34
36,Hundred Painting,Beauty,192.7
37,Blood Break,Sports,444.8
38,Doctor Thing,Beauty,3697.74
39,Represent Design,Books,1526.5
40,Yourself Fine,Home,4782.56
41,Executive Part,Beauty,2558.12
42,After Dream,Books,4606.43
43,Finish Car,Fashion,4262.97
44,Suddenly Such,Sports,860.48
45,Arrive Traditional,Electronics,3180.73
46,Nor Term,Electronics,2272.41
47,Southern Mission,Sports,2272.15
48,Pick Defense,Books,1526.48
49,Usually Performance,Electronics,4090.74
50,Task Customer,Fashion,3363.92
51,Glass We,Fashion,3792.96
52,All Scene,Electronics,1469.51
53,Leader Forget,Home,2020.7
54,Check Debate,Home,3739.18
55,Discover Garden,Books,299.08
56,Speak Wrong,Books,529.73
57,Indeed Everybody,Sports,4985.94
58,Memory Sometimes,Electronics,2227.14
59,Visit Table,Home,2398.55
60,Affect Use,Sports,1269.13
61,Live Five,Fashion,956.46
62,Real Maybe,Sports,4323.0
63,Leg Year,Electronics,2193.26
64,View Their,Sports,290.85
65,Choose Picture,Beauty,1324.37
66,Father Adult,Books,215.42
67,Game Lose,Fashion,3542.21
68,Face Pattern,Home,3628.17
69,Certain Wear,Home,4661.84
70,Executive State,Sports,1066.93
71,Gas Statement,Electronics,2691.03
72,Simply Day,Beauty,2330.16
73,Thus Yard,Sports,2115.39
74,Born Knowledge,Beauty,2784.58
75,Suddenly Food,Electronics,4919.95
76,Into All,Fashion,3269.84
77,Time These,Beauty,468.02
78,His Anything,Beauty,951.81
79,Call Political,Home,449.52
80,Night Finally,Fashion,4332.11
81,Thus If,Fashion,2776.79
82,Issue Model,Fashion,2561.52
83,Smile Billion,Sports,1741.57
84,Job Among,Books,1203.55
85,Wait Support,Sports,2103.03
86,Media Compare,Electronics,2893.22
87,Choice Back,Sports,726.44
88,Relate Meet,Beauty,1299.8
89,Mr Many,Electronics,558.06
90,Stand Room,Electronics,3109.25
91,Admit Consider,Fashion,3048.07
92,Democrat Hear,Fashion,1831.83
93,Establish Line,Books,906.24
94,Half Believe,Fashion,1059.84
95,Investment Local,Books,4406.28
96,Trip Report,Electronics,1007.27
97,Scientist Data,Home,3398.25
98,Save Protect,Fashion,3808.64
99,Animal Policy,Fashion,2574.87
100,Difficult Describe,Electronics,4019.92
101,Fire Wonder,Beauty,2370.05
102,Hold Memory,Fashion,3899.34
103,Sing Large,Fashion,4811.58
104,Success Three,Beauty,4198.86
105,Attention Article,Electronics,3359.64
106,Chance Language,Home,3435.61
107,Spend Knowledge,Books,3176.83
108,What Hard,Books,2173.77
109,Capital Through,Sports,3263.74
110,Third Staff,Sports,753.76
111,Capital Fear,Electronics,4028.32
112,Seven Camera,Fashion,221.43
113,Road Again,Fashion,3175.14
114,Spend Direction,Sports,2514.27
